#ZVView-data-copy:  26-Feb-2021 17:14:37
#=======================================
#
#name:   JENDL-4.0: AL-27(N,TOT)
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  2566
#data...
#            X            Y
#          MeV        barns
     0.0381126      10.8706 
     0.0382327      10.4716 
     0.0383528      10.1142 
     0.0384128      9.93551 
     0.0384728      9.77223 
     0.0385929      9.44571 
      0.038713      9.15482 
     0.0388331      8.86394 
     0.0389532      8.60667 
     0.0390733      8.34941 
     0.0392535      8.00644 
     0.0393135      7.89212 
     0.0394336      7.68795 
     0.0395537      7.48379 
     0.0396137      7.39223 
     0.0397939      7.11754 
      0.039974      6.87362 
     0.0400941        6.711 
     0.0401541      6.63893 
     0.0403343      6.42272 
     0.0403943      6.35065 
     0.0405144      6.22358 
     0.0407096      6.01711 
     0.0409347      5.80064 
     0.0411749      5.59477 
      0.041295      5.49184 
     0.0414151        5.399 
     0.0416103      5.24816 
     0.0418054      5.11457 
      0.041993      4.98614 
     0.0420869      4.92907 
     0.0423683      4.75788 
      0.042556      4.65735 
     0.0428562      4.49651 
     0.0431564      4.35608 
     0.0433066      4.28587 
     0.0434567      4.22273 
     0.0437569      4.09644 
     0.0440571      3.98612 
     0.0443574      3.87581 
     0.0446576      3.77976 
     0.0449578      3.68372 
     0.0453761      3.56755 
     0.0456549       3.4901 
     0.0457943      3.45616 
      0.046327      3.32648 
     0.0465808      3.27254 
     0.0470884      3.16464 
     0.0475683       3.0757 
     0.0478499      3.02352 
     0.0481037      2.98134 
     0.0486113        2.897 
     0.0491189      2.82353 
     0.0496265      2.75006 
     0.0501342      2.68629 
     0.0506807      2.61763 
     0.0515005      2.52763 
     0.0517738      2.49763 
     0.0523204      2.44479 
     0.0528669      2.39196 
     0.0531402      2.36887 
     0.0542333      2.27653 
     0.0553264      2.19571 
     0.0555997      2.17551 
     0.0564195      2.12333 
     0.0566928      2.10593 
     0.0570927      2.08048 
     0.0577859      2.04121 
     0.0581936      2.01813 
     0.0592206      1.96621 
     0.0595622      1.94894 
      0.060587      1.90591 
     0.0612702      1.87722 
     0.0616118       1.8656 
     0.0626776      1.82932 
     0.0639073      1.79619 
     0.0650551       1.7753 
     0.0653284      1.77032 
     0.0658749      1.76573 
     0.0663122      1.76206 
     0.0667494      1.75988 
     0.0676239      1.76331 
     0.0676911      1.76358 
     0.0684984      1.77415 
     0.0695915      1.80319 
      0.070466      1.84035 
     0.0711219      1.87768 
     0.0713405      1.89383 
     0.0717777      1.92614 
     0.0719964      1.94583 
     0.0724336      1.98522 
     0.0726522      2.00889 
     0.0728709      2.03256 
     0.0733081      2.08677 
     0.0737453      2.14866 
      0.073964      2.18391 
     0.0741826      2.21917 
     0.0746198      2.29934 
     0.0750571      2.39038 
     0.0754943      2.49366 
     0.0759316      2.61077 
