#ZVView-data-copy:  26-Feb-2021 18:27:25
#=======================================
#
#name:   ENDF/B-VIII.0: AL-27(N,G)AL-28
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  6537
#data...
#            X            Y
#          MeV        barns
     0.0490715  0.000460772 
     0.0496185  0.000439683 
     0.0501655  0.000421226 
     0.0507125  0.000405068 
     0.0512595   0.00039093 
     0.0518065  0.000378576 
     0.0523535  0.000367812 
     0.0529005  0.000358471 
     0.0534475  0.000350412 
     0.0539945  0.000343517 
      0.054815  0.000335253 
     0.0556355  0.000328887 
     0.0564561  0.000324629 
     0.0572766  0.000321934 
     0.0581654  0.000320945 
     0.0591911   0.00032204 
     0.0598748  0.000324056 
     0.0605586  0.000327092 
     0.0612697  0.000331334 
     0.0619808  0.000336701 
     0.0628552  0.000344895 
     0.0637312  0.000354956 
     0.0645517  0.000366281 
     0.0655363  0.000382206 
     0.0665756  0.000402373 
     0.0674508  0.000422377 
      0.068326  0.000445518 
     0.0689824  0.000465325 
     0.0696388  0.000487159 
     0.0702952  0.000511785 
     0.0709516  0.000538975 
      0.071608  0.000569729 
     0.0722644  0.000603786 
     0.0727021  0.000628913 
     0.0731396  0.000656082 
     0.0735772  0.000685493 
     0.0740148  0.000717367 
     0.0744525  0.000751953 
     0.0748901  0.000789527 
     0.0753277    0.0008304 
     0.0757653  0.000874916 
     0.0763123  0.000936369 
     0.0768593   0.00100475 
     0.0772969   0.00106534 
     0.0777345   0.00113165 
     0.0781721   0.00120428 
     0.0786097   0.00128386 
     0.0790473   0.00137108 
     0.0794849   0.00146661 
     0.0799225   0.00157114 
     0.0803601   0.00168532 
     0.0807977   0.00180968 
     0.0812353   0.00194457 
     0.0816729   0.00209005 
     0.0822199   0.00228636 
     0.0827669   0.00249592 
     0.0841891   0.00306559 
     0.0846267   0.00322891 
     0.0850643    0.0033748 
     0.0853925   0.00346726 
     0.0857207    0.0035438 
     0.0860599    0.0035995 
     0.0863115   0.00362784 
     0.0866506   0.00364198 
     0.0869241   0.00363348 
     0.0872523   0.00360407 
     0.0875805   0.00355126 
     0.0880181   0.00344959 
     0.0884557   0.00332127 
     0.0895497   0.00295213 
     0.0897685   0.00288753 
     0.0899873   0.00283705 
     0.0900967   0.00282091 
     0.0902061   0.00281466 
     0.0903292   0.00282492 
     0.0904249   0.00285288 
     0.0904796   0.00288057 
     0.0905343   0.00291996 
